category_ja,category_parent_ja,origin_ja,taxon_group_ja,family_ja,scientific_name,vernacular_name_ja,ias_law_status_ja,establishment_stage_ja,selection_reason_ja,problem_area_ja,kingdom_sheet_ja,note_ja,source_id,source_ref
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Callosiurus erythraecus,クリハラリス（タイワンリス）,特定外来,分布拡大期～まん延期,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=114
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Sciurus vulgaris,キタリス,特定外来,定着初期／限定分布,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=115
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Rattus rattus,クマネズミ,,分布拡大期～まん延期,"Ⅰ,Ⅱ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=116
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,哺乳類,,Myocastor coypus,ヌートリア,特定外来,分布拡大期～まん延期,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=117
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,鳥類,,Pavo cristatus,インドクジャク,*,分布拡大期～まん延期,"Ⅰ,Ⅱ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=118
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,鳥類,,Branta canadensis,カナダガン,特定外来,分布拡大期～まん延期,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=119
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,爬虫類,,Chelydra serpentina,カミツキガメ,特定外来,分布拡大期～まん延期,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=120
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,爬虫類,,Trachemys scripta,アカミミガメ,*,分布拡大期～まん延期,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=121
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,爬虫類,,Anolis carolinensis,グリーンアノール,特定外来,小笠原・南西諸島,"Ⅰ,Ⅱ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=122
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,爬虫類,,Elaphe taeniura friesei,タイワンスジオ,特定外来,小笠原・南西諸島,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=123
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,爬虫類,,Protobothrops mucrosquamatus,タイワンハブ,特定外来,小笠原・南西諸島,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=124
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,両生類,,Bufo marinus (Rhinella marina),オオヒキガエル,特定外来,小笠原・南西諸島,"Ⅰ,Ⅱ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=125
緊急対策外来種,総合的に対策が必要な外来種（総合対策外来種）,国外由来の外来種,魚類,,Ictalurus punctatus,チャネルキャットフィッシュ（アメリカナマズ）,特定外来,分布拡大期～まん延期,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=126
