place_id,place_kind,external_key,name_ja,lat,lon,reason
jp-14:place:site.jiban-chinka-21,site,kanagawa_jiban_chinka__21,八景小学校観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well21（data/processed/kanagawa_jiban_chinka.csv well_id=21; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-22,site,kanagawa_jiban_chinka__22,西寺尾第2小学校観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well22（data/processed/kanagawa_jiban_chinka.csv well_id=22; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-227,site,kanagawa_jiban_chinka__227,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row6_col11（data/processed/kanagawa_jiban_chinka.csv well_id=227; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-23,site,kanagawa_jiban_chinka__23,西寺尾公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well23（data/processed/kanagawa_jiban_chinka.csv well_id=23; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-24,site,kanagawa_jiban_chinka__24,海老名観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well24（data/processed/kanagawa_jiban_chinka.csv well_id=24; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-247B,site,kanagawa_jiban_chinka__247B,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row45_col11（data/processed/kanagawa_jiban_chinka.csv well_id=247B; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-25,site,kanagawa_jiban_chinka__25,松原観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well25（data/processed/kanagawa_jiban_chinka.csv well_id=25; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-257,site,kanagawa_jiban_chinka__257,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row24_col11（data/processed/kanagawa_jiban_chinka.csv well_id=257; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-258,site,kanagawa_jiban_chinka__258,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row19_col11（data/processed/kanagawa_jiban_chinka.csv well_id=258; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-26,site,kanagawa_jiban_chinka__26,大原観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well26（data/processed/kanagawa_jiban_chinka.csv well_id=26; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-261,site,kanagawa_jiban_chinka__261,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row10_col11（data/processed/kanagawa_jiban_chinka.csv well_id=261; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-27,site,kanagawa_jiban_chinka__27,四之宮観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well27（data/processed/kanagawa_jiban_chinka.csv well_id=27; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-28,site,kanagawa_jiban_chinka__28,金田観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well28（data/processed/kanagawa_jiban_chinka.csv well_id=28; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
