record_id,source_id,site_id,observed_on,scientific_name,vernacular_name,taxon_rank,reason
gbif_kanagawa_occurrences__4856659347,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856663504,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856663508,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856663756,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856671135,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856671139,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856679586,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856691558,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856701639,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856701660,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856710450,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856721024,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856755838,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856779796,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995834151,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995851349,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995854129,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995854132,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995854133,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995854134,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995858893,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995858894,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995858896,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995858897,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995858898,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995858899,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995921835,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995941179,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995941181,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995941184,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995941186,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995941188,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995941189,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995941190,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995953925,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995953930,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995953932,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995953933,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4995953934,gbif_kanagawa_occurrences,,1884-01-01,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
